query_id,brand,mention
1,1Password,1
1,Bitwarden,1
1,LastPass,0
1,Dashlane,0
1,Keeper,0
1,NordPass,0
1,RoboForm,0
2,1Password,1
2,Bitwarden,1
2,LastPass,0
2,Dashlane,1
2,Keeper,0
2,NordPass,0
2,RoboForm,0
3,1Password,0
3,Bitwarden,1
3,LastPass,0
3,Dashlane,0
3,Keeper,0
3,NordPass,0
3,RoboForm,0
4,1Password,1
4,Bitwarden,1
4,LastPass,1
4,Dashlane,0
4,Keeper,0
4,NordPass,0
4,RoboForm,0
5,1Password,1
5,Bitwarden,1
5,LastPass,1
5,Dashlane,1
5,Keeper,0
5,NordPass,0
5,RoboForm,0
6,1Password,1
6,Bitwarden,1
6,LastPass,1
6,Dashlane,1
6,Keeper,1
6,NordPass,0
6,RoboForm,0
7,1Password,1
7,Bitwarden,1
7,LastPass,1
7,Dashlane,1
7,Keeper,0
7,NordPass,1
7,RoboForm,0
8,1Password,0
8,Bitwarden,1
8,LastPass,0
8,Dashlane,0
8,Keeper,0
8,NordPass,0
8,RoboForm,0
9,1Password,1
9,Bitwarden,1
9,LastPass,0
9,Dashlane,1
9,Keeper,1
9,NordPass,1
9,RoboForm,0
10,1Password,1
10,Bitwarden,1
10,LastPass,1
10,Dashlane,1
10,Keeper,0
10,NordPass,0
10,RoboForm,0
11,1Password,1
11,Bitwarden,1
11,LastPass,1
11,Dashlane,1
11,Keeper,1
11,NordPass,0
11,RoboForm,0
12,1Password,1
12,Bitwarden,1
12,LastPass,1
12,Dashlane,0
12,Keeper,0
12,NordPass,1
12,RoboForm,0
13,1Password,1
13,Bitwarden,1
13,LastPass,1
13,Dashlane,1
13,Keeper,0
13,NordPass,0
13,RoboForm,0
14,1Password,1
14,Bitwarden,1
14,LastPass,0
14,Dashlane,0
14,Keeper,0
14,NordPass,0
14,RoboForm,0
15,1Password,0
15,Bitwarden,1
15,LastPass,0
15,Dashlane,0
15,Keeper,0
15,NordPass,0
15,RoboForm,0
16,1Password,1
16,Bitwarden,1
16,LastPass,1
16,Dashlane,1
16,Keeper,0
16,NordPass,0
16,RoboForm,0
17,1Password,1
17,Bitwarden,1
17,LastPass,1
17,Dashlane,1
17,Keeper,0
17,NordPass,1
17,RoboForm,0
18,1Password,1
18,Bitwarden,1
18,LastPass,1
18,Dashlane,1
18,Keeper,0
18,NordPass,1
18,RoboForm,0
19,1Password,0
19,Bitwarden,1
19,LastPass,1
19,Dashlane,1
19,Keeper,0
19,NordPass,1
19,RoboForm,0
20,1Password,1
20,Bitwarden,1
20,LastPass,1
20,Dashlane,1
20,Keeper,1
20,NordPass,1
20,RoboForm,1
21,1Password,1
21,Bitwarden,1
21,LastPass,1
21,Dashlane,1
21,Keeper,1
21,NordPass,1
21,RoboForm,0
22,1Password,1
22,Bitwarden,1
22,LastPass,1
22,Dashlane,0
22,Keeper,0
22,NordPass,0
22,RoboForm,0
23,1Password,1
23,Bitwarden,1
23,LastPass,0
23,Dashlane,0
23,Keeper,0
23,NordPass,0
23,RoboForm,0
24,1Password,1
24,Bitwarden,1
24,LastPass,0
24,Dashlane,0
24,Keeper,0
24,NordPass,0
24,RoboForm,0
25,1Password,1
25,Bitwarden,1
25,LastPass,1
25,Dashlane,1
25,Keeper,1
25,NordPass,1
